"時点","地域コード","地域","漁獲量【トン】","注記"
"1998年","11000","埼玉県","1278",""
"1999年","11000","埼玉県","1097",""
"2000年","11000","埼玉県","1058",""
"2001年","11000","埼玉県","1161",""
"2002年","11000","埼玉県","973",""
"2003年","11000","埼玉県","828",""
"2004年","11000","埼玉県","724",""
"2005年","11000","埼玉県","620",""
"2006年","11000","埼玉県","61",""
"2007年","11000","埼玉県","56",""
"2008年","11000","埼玉県","2",""
"2009年","11000","埼玉県","2",""
"2010年","11000","埼玉県","1",""
"2011年","11000","埼玉県","4",""
"2012年","11000","埼玉県","1",""
"2013年","11000","埼玉県","1",""
"2014年","11000","埼玉県","1",""
"2015年","11000","埼玉県","1",""
"2016年","11000","埼玉県","1",""
"2017年","11000","埼玉県","1",""
"2018年","11000","埼玉県","2",""
"2019年","11000","埼玉県","1",""
"2020年","11000","埼玉県","2",""
"2021年","11000","埼玉県","1",""
"1975年","12000","千葉県","313724",""
"1976年","12000","千葉県","320318",""
"1977年","12000","千葉県","401692",""
"1978年","12000","千葉県","425840",""
"1979年","12000","千葉県","364565",""
"1980年","12000","千葉県","387309",""
"1981年","12000","千葉県","558262",""
"1982年","12000","千葉県","464774",""
"1983年","12000","千葉県","577126",""
"1984年","12000","千葉県","555168",""
"1985年","12000","千葉県","446276",""
"1986年","12000","千葉県","461090",""
"1987年","12000","千葉県","395777",""
"1988年","12000","千葉県","444842",""
"1989年","12000","千葉県","347630",""
"1990年","12000","千葉県","359441",""
"1991年","12000","千葉県","301903",""
"1992年","12000","千葉県","244498",""
"1993年","12000","千葉県","213166",""
"1994年","12000","千葉県","161065",""
"1995年","12000","千葉県","174150",""
"1996年","12000","千葉県","179034",""
"1997年","12000","千葉県","200141",""
"1998年","12000","千葉県","200749",""
"1999年","12000","千葉県","198825",""
"2000年","12000","千葉県","176464",""
"2001年","12000","千葉県","162850",""
"2002年","12000","千葉県","182104",""
"2003年","12000","千葉県","207818",""
"2004年","12000","千葉県","222200",""
"2005年","12000","千葉県","196408",""
"2006年","12000","千葉県","207631",""
"2007年","12000","千葉県","170377",""
"2008年","12000","千葉県","176432",""
"2009年","12000","千葉県","192191",""
"2010年","12000","千葉県","162811",""
"2011年","12000","千葉県","169487",""
"2012年","12000","千葉県","158248",""
"2013年","12000","千葉県","134138",""
"2014年","12000","千葉県","135423",""
